Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
63,794.792,266.838,860.675,251.177,876.309,342.013,973.455,368.719,1139.55,398.473,866.923,180.634,1017.34,150.897,1144.23,111.723,1114.46,222.97,1120.7,254.319,0,0,0,0,1112.91,199.48,1233.54,207.285,0,0,779.172,282.595,777.598,249.632,783.867,306.066,782.343,218.253,0,0,0,0,0,0,0,0,0,0,0,0
64,787.014,266.876,857.489,254.309,871.602,345.21,973.454,370.316,1070.61,390.595,862.216,180.704,1017.3,155.555,1147.4,117.96,1076.87,262.146,1026.74,313.864,0,0,0,0,1098.81,219.846,0,0,0,0,771.398,284.078,771.318,251.171,779.182,307.571,780.76,218.317,0,0,0,0,0,0,0,0,0,0,0,0
65,783.868,268.369,854.373,255.888,870.089,349.907,978.144,374.952,1036.13,376.537,859.039,180.661,1012.64,157.167,1147.33,122.681,1089.39,240.204,1083.12,274.672,0,0,0,0,1095.67,201.036,1208.44,199.486,0,0,769.745,284.122,769.728,254.3,771.355,309.197,771.413,221.399,0,0,0,0,0,0,0,0,0,0,0,0
66,780.774,270.007,852.809,257.429,870.025,349.876,987.548,381.245,1094.09,395.341,857.464,180.69,1011.04,160.326,1145.74,127.401,1043.95,280.936,1026.72,310.717,0,0,0,0,1053.35,243.353,0,0,0,0,766.651,290.366,763.511,255.879,771.387,309.175,769.794,219.843,0,0,0,0,0,0,0,0,0,0,0,0
67,780.711,270.041,848.14,255.881,860.654,349.883,953.101,384.37,0,0,855.945,180.665,1009.53,165.025,1147.38,132.193,1094.09,226.125,1079.98,295.049,0,0,0,0,1087.83,205.721,1200.63,185.395,0,0,760.435,291.943,758.859,255.819,768.205,318.481,769.72,219.86,0,0,0,0,0,0,0,0,0,0,0,0
68,772.958,270.001,848.115,255.898,860.642,345.202,967.187,389.044,1150.48,421.968,852.802,180.673,1017.31,168.095,1147.37,138.356,1116.03,235.511,1078.43,302.877,0,0,0,0,0,0,0,0,0,0,758.761,291.929,757.273,255.85,760.419,317.013,769.766,224.558,0,0,0,0,0,0,0,0,0,0,0,0
69,772.94,269.979,846.55,255.896,860.674,345.211,981.282,387.477,1150.48,428.228,851.242,180.676,1009.53,168.184,1145.81,143.096,1081.56,277.812,1062.75,316.973,0,0,0,0,0,0,0,0,0,0,757.269,291.92,757.241,255.919,760.417,318.563,763.49,221.432,0,0,0,0,0,0,0,0,0,0,0,0
70,769.801,270.007,844.952,257.489,855.966,348.319,984.42,393.73,1148.93,431.376,849.667,182.192,1009.54,169.727,1172.45,152.479,1089.41,243.341,1069,320.113,0,0,0,0,1084.71,216.709,0,0,0,0,754.076,291.886,752.539,255.805,757.203,318.504,760.42,221.409,0,0,0,0,0,0,0,0,0,0,0,0
71,769.727,269.987,843.414,258.995,852.832,351.458,971.884,398.452,1148.92,432.91,848.15,180.705,1009.54,169.696,1147.37,152.457,1111.33,219.849,1119.16,241.774,0,0,0,0,0,0,0,0,0,0,754.121,290.343,754.078,254.323,758.797,320.071,760.427,222.982,0,0,0,0,0,0,0,0,0,0,0,0
72,761.947,270.023,841.834,257.482,846.55,343.605,945.244,395.363,1148.94,434.504,848.141,180.699,1004.79,171.267,0,0,1089.4,213.576,1083.13,204.182,0,0,0,0,1097.23,230.809,0,0,0,0,747.86,291.896,746.256,251.19,754.106,316.974,758.833,219.903,0,0,0,0,0,0,0,0,0,0,0,0
73,760.375,270.031,838.742,258.997,840.266,343.59,959.364,393.787,1158.34,437.632,848.103,180.668,1004.78,171.261,1112.89,157.173,1144.23,227.669,1142.66,233.946,0,0,0,0,0,0,0,0,0,0,746.315,291.909,744.722,252.746,754.094,320.111,758.807,219.889,0,0,0,0,0,0,0,0,0,0,0,0
74,760.402,269.986,841.854,257.483,848.125,349.911,962.485,395.368,1161.48,439.215,848.163,180.631,1007.91,169.719,1119.15,155.612,1109.77,224.551,0,0,0,0,0,0,0,0,0,0,0,0,746.301,290.363,744.711,251.184,752.562,318.574,758.824,219.824,0,0,0,0,0,0,0,0,0,0,0,0
75,760.377,270.012,843.413,257.441,855.928,353.011,978.153,396.913,1170.9,440.755,848.155,177.51,915.492,160.296,0,0,1087.82,221.417,0,0,0,0,0,0,0,0,0,0,0,0,746.265,293.43,744.721,252.745,757.24,320.089,758.848,221.417,0,0,0,0,0,0,0,0,0,0,0,0
76,761.937,268.426,844.92,258.996,855.938,354.578,973.448,393.766,1174.04,437.632,854.405,174.425,1018.88,163.437,1090.96,158.756,1094.09,304.458,1070.58,334.221,0,0,0,0,1108.2,279.392,0,0,0,0,746.286,291.897,744.767,248.069,757.281,321.67,757.273,219.857,0,0,0,0,0,0,0,0,0,0,0,0
